FeatureCode,DateCode,Measurement,Units,Value
S01006970,2014,Count,Hectares,37.976
S01006971,2014,Count,Hectares,28.145
S01006972,2014,Count,Hectares,2718.278
S01006973,2014,Count,Hectares,767.977
S01006974,2014,Count,Hectares,34.611
S01006975,2014,Count,Hectares,7541.282
S01006976,2014,Count,Hectares,2845.126
S01006977,2014,Count,Hectares,6069.711
S01006978,2014,Count,Hectares,3473.921
S01006979,2014,Count,Hectares,1149.123
S01006980,2014,Count,Hectares,2495.287
S01006981,2014,Count,Hectares,3066.141
S01006982,2014,Count,Hectares,343.601
S01006983,2014,Count,Hectares,892.663
S01006984,2014,Count,Hectares,2773.798
S01006985,2014,Count,Hectares,78.389
S01006986,2014,Count,Hectares,19.973
S01006987,2014,Count,Hectares,27.928
S01006988,2014,Count,Hectares,2265.626
S01006989,2014,Count,Hectares,2580.796
S01006990,2014,Count,Hectares,2033.525
S01006991,2014,Count,Hectares,85.406
S01006992,2014,Count,Hectares,4215.506
S01006993,2014,Count,Hectares,3796.124
S01006994,2014,Count,Hectares,2270.808
S01006995,2014,Count,Hectares,4873.857
S01006996,2014,Count,Hectares,29.028
S01006997,2014,Count,Hectares,2429.644
S01006998,2014,Count,Hectares,4764.612
S01006999,2014,Count,Hectares,8410.834
S01007000,2014,Count,Hectares,845.959
S01007001,2014,Count,Hectares,50.835
S01007002,2014,Count,Hectares,3010.202
S01007003,2014,Count,Hectares,6770.676
S01007004,2014,Count,Hectares,6034.578
S01007005,2014,Count,Hectares,5970.868
S01007006,2014,Count,Hectares,11151.579
S01007007,2014,Count,Hectares,12818.837
S01007008,2014,Count,Hectares,44.578
S01007009,2014,Count,Hectares,45.935
S01007010,2014,Count,Hectares,35.242
S01007011,2014,Count,Hectares,17.258
S01007012,2014,Count,Hectares,35.259
S01007013,2014,Count,Hectares,3461.919
S01007014,2014,Count,Hectares,4634.354
S01007015,2014,Count,Hectares,6166.5
S01007016,2014,Count,Hectares,4027.397
S01007017,2014,Count,Hectares,21.56
S01007018,2014,Count,Hectares,31.728
S01007019,2014,Count,Hectares,32.157
